# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	-5.35794	3.7728	-1.3464	-0.00408089	-0.0890077	0.00181913	-0.0260542	0.0339453	-0.0253533	4.38646e-06	-0.000293621	0.000102255	0.0105887	0.00542511	0.00428151	-2.96402e-05	-3.64181e-05	-0.000177018
180.1	-5.36049	3.77622	-1.34892	-0.0040806	-0.0890372	0.00182847	-0.024978	0.0344657	-0.024978	1.40006e-06	-0.000296666	8.44396e-05	0.0108774	0.00505712	0.00340004	-3.00132e-05	-2.64719e-05	-0.000178913
180.2	-5.36293	3.77969	-1.3514	-0.00408062	-0.089067	0.00183602	-0.0238791	0.0349496	-0.0246903	-1.61302e-06	-0.000298704	6.651e-05	0.0110632	0.00469256	0.00252835	-3.02094e-05	-1.63118e-05	-0.00017955
180.3	-5.36526	3.7832	-1.35386	-0.00408093	-0.0890969	0.00184177	-0.0227679	0.0353973	-0.024489	-4.63509e-06	-0.000299716	4.8592e-05	0.0111454	0.0043329	0.00166965	-3.02282e-05	-5.99695e-06	-0.000178935
180.4	-5.36748	3.78676	-1.3563	-0.00408154	-0.0891268	0.00184574	-0.0216547	0.0358094	-0.0243726	-7.64842e-06	-0.00029969	3.08098e-05	0.0111233	0.00397954	0.000826839	-3.007e-05	4.43782e-06	-0.000177079
180.5	-5.36959	3.79036	-1.35874	-0.00408246	-0.0891568	0.00184795	-0.0205499	0.0361866	-0.0243393	-1.06353e-05	-0.000298616	1.32864e-05	0.010997	0.0036338	2.83913e-06	-2.97354e-05	1.49338e-05	-0.000174005
180.6	-5.37159	3.794	-1.36117	-0.00408367	-0.0891865	0.00184842	-0.019464	0.0365297	-0.0243872	-1.35784e-05	-0.000296493	-3.85837e-06	0.0107665	0.00329693	-0.00079957	-2.92266e-05	2.54333e-05	-0.000169743
180.7	-5.37349	3.79767	-1.36362	-0.00408517	-0.089216	0.0018472	-0.0184074	0.0368398	-0.0245139	-1.64602e-05	-0.000293322	-2.0508e-05	0.0104325	0.00297007	-0.00157768	-2.85469e-05	3.58858e-05	-0.000164332
180.8	-5.37528	3.80137	-1.36608	-0.00408695	-0.0892451	0.00184435	-0.0173904	0.0371179	-0.0247167	-1.92642e-05	-0.000289113	-3.65503e-05	0.00999599	0.00265428	-0.00232891	-2.77009e-05	4.62346e-05	-0.000157818
180.9	-5.37697	3.80509	-1.36857	-0.00408902	-0.0892738	0.00183992	-0.016423	0.0373651	-0.0249929	-2.19738e-05	-0.000283878	-5.18783e-05	0.00945828	0.00235049	-0.00305078	-2.6694e-05	5.6426e-05	-0.000150255
181	-5.37857	3.80884	-1.37108	-0.00409134	-0.0893019	0.00183401	-0.0155154	0.0375827	-0.0253394	-2.45736e-05	-0.000277637	-6.63908e-05	0.00882117	0.00205955	-0.00374092	-2.55329e-05	6.64054e-05	-0.000141704
181.1	-5.38008	3.81261	-1.37364	-0.00409393	-0.0893293	0.00182669	-0.0146774	0.037772	-0.0257528	-2.70484e-05	-0.000270414	-7.99929e-05	0.00808683	0.00178218	-0.0043971	-2.42257e-05	7.61138e-05	-0.000132233
181.2	-5.38151	3.81639	-1.37624	-0.00409675	-0.0893559	0.00181806	-0.0139184	0.0379344	-0.0262298	-2.93842e-05	-0.000262238	-9.25969e-05	0.00725775	0.001519	-0.00501717	-2.27793e-05	8.55182e-05	-0.000121912
