# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	11.4566	4.78875	-1.01274	-0.00391717	-0.0892973	0.00104902	0.116135	0.117009	-0.119074	-5.16977e-05	-0.000127685	3.76841e-05	-0.0317362	-0.0710747	-0.0305041	-0.00010688	8.43915e-05	0.000230257
180.1	11.468	4.80009	-1.0248	-0.00392287	-0.0893096	0.00105398	0.112864	0.109773	-0.122003	-6.23709e-05	-0.000118859	6.16046e-05	-0.0333541	-0.0732091	-0.0284708	-0.000106632	9.08365e-05	0.000245171
180.2	11.4791	4.8107	-1.03713	-0.00392964	-0.089321	0.00106141	0.109435	0.102335	-0.124725	-7.29947e-05	-0.000109403	8.69412e-05	-0.0349202	-0.0751616	-0.0263946	-0.000105975	9.70481e-05	0.000258829
180.3	11.4899	4.82055	-1.04973	-0.00393746	-0.0893314	0.00107144	0.105852	0.0947128	-0.127238	-8.35283e-05	-9.93429e-05	0.000113551	-0.0364309	-0.0769296	-0.0242806	-0.00010491	0.000102967	0.000270944
180.4	11.5003	4.82963	-1.06257	-0.00394634	-0.0893408	0.00108418	0.102122	0.086925	-0.129537	-9.39305e-05	-8.87126e-05	0.000141263	-0.037882	-0.0785108	-0.0221345	-0.00010343	0.000108527	0.000281235
180.5	11.5103	4.83793	-1.07563	-0.00395624	-0.0893492	0.00109973	0.0982507	0.0789903	-0.13162	-0.00010416	-7.75518e-05	0.000169878	-0.0392694	-0.0799039	-0.0199618	-0.000101537	0.000113663	0.000289429
180.6	11.5199	4.84542	-1.08888	-0.00396716	-0.0893563	0.00111819	0.0942446	0.0709277	-0.133485	-0.000114176	-6.59064e-05	0.000199171	-0.0405887	-0.0811081	-0.0177684	-9.9235e-05	0.000118314	0.00029527
180.7	11.5291	4.85211	-1.10231	-0.00397906	-0.0893623	0.00113959	0.090111	0.062756	-0.135129	-0.000123937	-5.38286e-05	0.000228893	-0.0418355	-0.0821231	-0.0155598	-9.65285e-05	0.00012242	0.000298519
180.8	11.5379	4.85797	-1.1159	-0.00399193	-0.0893671	0.00116397	0.0858572	0.0544941	-0.136552	-0.000133404	-4.13763e-05	0.000258772	-0.0430053	-0.0829495	-0.0133418	-9.34317e-05	0.000125924	0.000298962
180.9	11.5463	4.863	-1.12961	-0.00400573	-0.0893706	0.00119134	0.0814914	0.0461608	-0.137753	-0.000142538	-2.86131e-05	0.000288515	-0.0440934	-0.0835877	-0.0111198	-8.99479e-05	0.00012877	0.000296408
181	11.5542	4.8672	-1.14344	-0.00402042	-0.0893728	0.00122165	0.077022	0.037775	-0.138732	-0.000151302	-1.56077e-05	0.000317813	-0.0450949	-0.0840394	-0.00889955	-8.60972e-05	0.00013091	0.000290699
181.1	11.5617	4.87055	-1.15735	-0.00403597	-0.0893737	0.00125486	0.0724579	0.029355	-0.139489	-0.000159659	-2.43357e-06	0.000346344	-0.0460051	-0.0843061	-0.00668651	-8.18919e-05	0.000132296	0.000281709
181.2	11.5687	4.87307	-1.17132	-0.00405233	-0.0893733	0.00129087	0.0678085	0.0209194	-0.140025	-0.000167576	1.08319e-05	0.000373773	-0.046819	-0.0843898	-0.00448605	-7.73592e-05	0.000132894	0.00026935
181.3	11.5753	4.87474	-1.18534	-0.00406946	-0.0893715	0.00132954	0.0630839	0.0124862	-0.140343	-0.000175021	2.41076e-05	0.000399761	-0.0475316	-0.0842931	-0.00230362	-7.25121e-05	0.000132665	0.000253571
181.4	11.5813	4.87557	-1.19938	-0.00408731	-0.0893685	0.00137073	0.0582943	0.00407339	-0.140444	-0.000181964	3.73092e-05	0.000423966	-0.0481379	-0.0840185	-0.000144227	-6.73771e-05	0.000131584	0.000234361
181.5	11.5869	4.87556	-1.21342	-0.00410583	-0.0893641	0.00141423	0.0534508	-0.0043015	-0.14033	-0.000188378	5.03503e-05	0.000446045	-0.0486331	-0.0835691	0.00198695	-6.19779e-05	0.00012963	0.000211754
181.6	11.592	4.87471	-1.22744	-0.00412496	-0.0893584	0.00145981	0.0485648	-0.0126211	-0.140006	-0.000194238	6.31429e-05	0.000465665	-0.0490122	-0.0829479	0.00408505	-5.6341e-05	0.00012679	0.000185826
181.7	11.5966	4.87303	-1.24141	-0.00414464	-0.0893515	0.00150722	0.0436481	-0.0208686	-0.139474	-0.000199521	7.55979e-05	0.0004825	-0.0492706	-0.0821584	0.00614538	-5.04921e-05	0.000123057	0.000156696
181.8	11.6008	4.87054	-1.25532	-0.00416483	-0.0893433	0.00155616	0.038713	-0.0290271	-0.138738	-0.000204208	8.76262e-05	0.000496239	-0.0494036	-0.0812039	0.00816336	-4.44596e-05	0.000118434	0.000124527
181.9	11.6044	4.86723	-1.26915	-0.00418545	-0.089334	0.0016063	0.0337725	-0.0370806	-0.137804	-0.000208283	9.91394e-05	0.000506592	-0.0494071	-0.0800882	0.0101347	-3.82722e-05	0.00011293	8.95281e-05
182	11.6075	4.86313	-1.28287	-0.00420646	-0.0893235	0.00165729	0.0288395	-0.045013	-0.136675	-0.000211731	0.00011005	0.00051329	-0.049277	-0.078815	0.0120552	-3.19578e-05	0.000106564	5.19459e-05
182.1	11.6101	4.85824	-1.29647	-0.00422777	-0.089312	0.00170876	0.0239279	-0.0528089	-0.135357	-0.000214542	0.000120275	0.000516092	-0.0490094	-0.0773881	0.013921	-2.55452e-05	9.93593e-05	1.20694e-05
182.2	11.6123	4.85258	-1.30993	-0.00424933	-0.0892995	0.0017603	0.0190514	-0.0604531	-0.133857	-0.000216708	0.00012973	0.000514788	-0.0486013	-0.0758114	0.0157285	-1.90627e-05	9.13508e-05	-2.97748e-05
182.3	11.614	4.84616	-1.32324	-0.00427108	-0.0892861	0.0018115	0.0142244	-0.0679309	-0.132179	-0.000218223	0.000138339	0.000509204	-0.0480497	-0.0740889	0.0174742	-1.25382e-05	8.25791e-05	-7.32253e-05
182.4	11.6151	4.839	-1.33636	-0.00429294	-0.0892719	0.00186192	0.00946128	-0.0752279	-0.130331	-0.000219084	0.000146027	0.000499201	-0.0473523	-0.0722246	0.019155	-5.99898e-06	7.30926e-05	-0.000117889
182.5	11.6159	4.83112	-1.34929	-0.00431486	-0.0892569	0.00191111	0.00477675	-0.0823303	-0.128319	-0.000219292	0.000152728	0.000484685	-0.0465073	-0.0702227	0.020768	5.29995e-07	6.29456e-05	-0.000163346
182.6	11.6161	4.82254	-1.36202	-0.00433677	-0.0892414	0.00195863	0.000185637	-0.0892244	-0.126149	-0.00021885	0.000158378	0.000465602	-0.0455136	-0.0680873	0.0223105	7.01862e-06	5.22043e-05	-0.00020915
182.7	11.6159	4.81329	-1.37452	-0.0043586	-0.0892253	0.002004	-0.00429715	-0.0958973	-0.12383	-0.000217762	0.000162922	0.000441946	-0.0443707	-0.0658226	0.0237803	1.34484e-05	4.09319e-05	-0.000254841
182.8	11.6152	4.80338	-1.38678	-0.00438029	-0.0892088	0.00204679	-0.00865669	-0.102336	-0.121368	-0.000216037	0.000166312	0.000413756	-0.0430787	-0.063433	0.0251752	1.97952e-05	2.92039e-05	-0.000299939
182.9	11.6142	4.79283	-1.39878	-0.00440177	-0.0891921	0.00208653	-0.0128782	-0.108529	-0.118772	-0.000213683	0.000168506	0.000381121	-0.0416385	-0.0609227	0.0264934	2.60353e-05	1.71013e-05	-0.00034396
183	11.6127	4.78168	-1.41052	-0.00442299	-0.0891752	0.00212279	-0.0169468	-0.114464	-0.116048	-0.000210712	0.000169472	0.000344177	-0.040052	-0.0582963	0.0277334	3.21522e-05	4.70413e-06	-0.000386416
183.1	11.6108	4.76995	-1.42199	-0.00444389	-0.0891583	0.00215516	-0.0208482	-0.120129	-0.113205	-0.000207139	0.000169186	0.000303111	-0.0383216	-0.0555582	0.0288941	3.81258e-05	-7.89857e-06	-0.000426819
183.2	11.6085	4.75767	-1.43316	-0.00446439	-0.0891414	0.00218322	-0.0245681	-0.125514	-0.110251	-0.000202977	0.000167633	0.000258157	-0.0364506	-0.0527133	0.0299745	4.39405e-05	-2.06179e-05	-0.000464691
183.3	11.6059	4.74487	-1.44403	-0.00448445	-0.0891248	0.00220661	-0.0280927	-0.130609	-0.107193	-0.000198245	0.000164807	0.000209595	-0.0344432	-0.0497663	0.0309739	4.95812e-05	-3.3362e-05	-0.000499568
183.4	11.6029	4.73156	-1.45459	-0.00450401	-0.0891085	0.00222497	-0.0314087	-0.135402	-0.104041	-0.000192959	0.00016071	0.000157752	-0.0323044	-0.0467221	0.031892	5.50351e-05	-4.6038e-05	-0.000531006
183.5	11.5996	4.7178	-1.46483	-0.00452302	-0.0890927	0.00223801	-0.0345033	-0.139887	-0.100801	-0.00018714	0.000155355	0.000102997	-0.03004	-0.0435859	0.0327285	6.02914e-05	-5.85533e-05	-0.000558585
183.6	11.596	4.7036	-1.47475	-0.00454142	-0.0890775	0.00224545	-0.0373643	-0.144052	-0.0974833	-0.000180808	0.000148764	4.57388e-05	-0.0276566	-0.0403629	0.0334838	6.534e-05	-7.08147e-05	-0.000581914
183.7	11.5922	4.68901	-1.48433	-0.00455915	-0.089063	0.00224705	-0.0399802	-0.14789	-0.0940945	-0.000173984	0.000140968	-1.35762e-05	-0.0251618	-0.0370588	0.0341581	7.01726e-05	-8.27308e-05	-0.000600641
183.8	11.588	4.67404	-1.49356	-0.00457619	-0.0890494	0.00224265	-0.0423405	-0.151393	-0.090643	-0.00016669	0.000132006	-7.44689e-05	-0.0225637	-0.033679	0.0347521	7.47823e-05	-9.42124e-05	-0.000614451
183.9	11.5837	4.65875	-1.50245	-0.00459247	-0.0890367	0.00223211	-0.0444353	-0.154554	-0.0871369	-0.000158949	0.000121927	-0.000136432	-0.0198713	-0.0302297	0.0352668	7.91634e-05	-0.000105173	-0.000623076
184	11.5792	4.64315	-1.51099	-0.00460796	-0.0890251	0.00221534	-0.0462559	-0.157366	-0.0835841	-0.000150784	0.000110788	-0.000198932	-0.0170944	-0.026717	0.0357031	8.33115e-05	-0.000115531	-0.000626294
184.1	11.5745	4.62729	-1.51917	-0.00462261	-0.0890146	0.00219232	-0.0477942	-0.159824	-0.0799922	-0.000142218	9.86547e-05	-0.00026142	-0.0142431	-0.0231471	0.0360625	8.72229e-05	-0.000125207	-0.000623937
184.2	11.5696	4.6112	-1.52699	-0.00463638	-0.0890054	0.00216308	-0.0490437	-0.161921	-0.0763689	-0.000133276	8.55985e-05	-0.000323331	-0.0113285	-0.0195269	0.0363465	9.08954e-05	-0.000134131	-0.000615892
184.3	11.5647	4.59492	-1.53444	-0.00464924	-0.0889975	0.00212771	-0.0499985	-0.163654	-0.0727216	-0.00012398	7.16992e-05	-0.000384093	-0.00836203	-0.0158631	0.0365568	9.43293e-05	-0.000142235	-0.0006021
184.4	11.5596	4.57849	-1.54153	-0.00466116	-0.0889911	0.00208635	-0.0506543	-0.165018	-0.0690576	-0.000114356	5.70424e-05	-0.000443131	-0.00535556	-0.0121631	0.0366952	9.75156e-05	-0.000149457	-0.000582564
184.5	11.5546	4.56194	-1.54825	-0.0046721	-0.0889861	0.0020392	-0.0510078	-0.166011	-0.065384	-0.000104428	4.17191e-05	-0.000499874	-0.00232133	-0.00843409	0.0367639	0.000100462	-0.000155749	-0.000557346
184.6	11.5495	4.54531	-1.55461	-0.00468203	-0.0889828	0.00198652	-0.051057	-0.166629	-0.0617075	-9.42193e-05	2.58255e-05	-0.000553762	0.00072803	-0.00468383	0.036765	0.000103165	-0.000161062	-0.000526568
184.7	11.5444	4.52863	-1.56059	-0.00469093	-0.088981	0.00192862	-0.0508011	-0.166872	-0.0580349	-8.37554e-05	9.46128e-06	-0.000604249	0.00377972	-0.000920218	0.0367009	0.000105622	-0.000165361	-0.00049041
184.8	11.5393	4.51195	-1.56621	-0.00469877	-0.0889809	0.00186587	-0.0502407	-0.166738	-0.0543724	-7.30605e-05	-7.2702e-06	-0.000650812	0.00682082	0.00284861	0.036574	0.000107834	-0.000168617	-0.000449114
184.9	11.5343	4.4953	-1.57147	-0.00470553	-0.0889825	0.00179868	-0.0493775	-0.166227	-0.0507262	-6.21592e-05	-2.42634e-05	-0.000692956	0.00983835	0.00661427	0.0363869	0.000109798	-0.000170809	-0.000402977
185	11.5294	4.47873	-1.57636	-0.00471119	-0.0889857	0.00172752	-0.0482148	-0.16534	-0.0471022	-5.10764e-05	-4.14114e-05	-0.000730216	0.0128194	0.0103682	0.0361422	0.000111515	-0.000171926	-0.000352351
185.1	11.5247	4.46225	-1.58089	-0.00471574	-0.0889907	0.00165291	-0.046757	-0.164079	-0.043506	-3.98369e-05	-5.86064e-05	-0.000762168	0.0157512	0.0141017	0.0358427	0.000112982	-0.000171966	-0.000297641
185.2	11.5201	4.44593	-1.58506	-0.00471915	-0.0889975	0.00157538	-0.0450097	-0.162447	-0.0399428	-2.84659e-05	-7.57411e-05	-0.000788432	0.0186212	0.0178058	0.0354911	0.000114196	-0.000170935	-0.000239299
185.3	11.5157	4.42978	-1.58888	-0.00472143	-0.0890059	0.00149552	-0.0429798	-0.160446	-0.0364177	-1.69888e-05	-9.27093e-05	-0.000808673	0.0214173	0.0214714	0.0350902	0.000115154	-0.000168847	-0.00017782
185.4	11.5115	4.41386	-1.59235	-0.00472255	-0.089016	0.00141396	-0.0406754	-0.158082	-0.0329355	-5.43143e-06	-0.000109407	-0.00082261	0.0241275	0.0250895	0.034643	0.000115853	-0.000165727	-0.000113741
185.5	11.5076	4.39819	-1.59547	-0.00472251	-0.0890278	0.00133133	-0.0381059	-0.15536	-0.0295007	6.18002e-06	-0.000125732	-0.000830018	0.0267407	0.0286508	0.0341524	0.000116289	-0.000161605	-4.76302e-05
185.6	11.5039	4.3828	-1.59825	-0.00472131	-0.0890411	0.0012483	-0.0352815	-0.152285	-0.0261173	1.78189e-05	-0.000141588	-0.000830728	0.0292461	0.032146	0.0336212	0.000116455	-0.000156522	1.99141e-05
185.7	11.5005	4.36775	-1.6007	-0.00471895	-0.089056	0.00116553	-0.0322136	-0.148865	-0.0227893	2.9458e-05	-0.00015688	-0.000824635	0.0316337	0.0355658	0.0330524	0.000116348	-0.000150526	8.82715e-05
185.8	11.4975	4.35305	-1.60281	-0.00471542	-0.0890725	0.00108372	-0.0289147	-0.145108	-0.0195203	4.10695e-05	-0.000171521	-0.000811696	0.033894	0.0389011	0.0324489	0.00011596	-0.000143668	0.000156807
185.9	11.4948	4.33874	-1.6046	-0.00471074	-0.0890903	0.00100354	-0.0253978	-0.141024	-0.0163135	5.26249e-05	-0.000185429	-0.000791931	0.0360186	0.0421425	0.0318136	0.000115284	-0.000136012	0.000224873
186	11.4924	4.32486	-1.60608	-0.0047049	-0.0891095	0.000925669	-0.021677	-0.136621	-0.013172	6.4095e-05	-0.000198526	-0.000765427	0.0379998	0.0452812	0.0311493	0.000114312	-0.000127617	0.000291828
186.1	11.4904	4.31143	-1.60724	-0.00469792	-0.08913	0.000850783	-0.0177672	-0.131911	-0.0100985	7.54499e-05	-0.000210745	-0.000732332	0.0398307	0.0483081	0.0304591	0.000113041	-0.000118568	0.000357018
186.2	11.4889	4.29849	-1.6081	-0.00468982	-0.0891516	0.000779525	-0.0136837	-0.126906	-0.00709541	8.6659e-05	-0.000222023	-0.000692862	0.0415054	0.0512146	0.0297455	0.000111456	-0.000108924	0.000419821
186.3	11.4877	4.28607	-1.60867	-0.0046806	-0.0891743	0.000712519	-0.0094423	-0.121618	-0.0041649	9.76905e-05	-0.000232307	-0.000647293	0.043019	0.0539921	0.0290115	0.000109555	-9.87758e-05	0.000479615
186.4	11.487	4.27418	-1.60894	-0.00467029	-0.089198	0.000650358	-0.00505949	-0.11606	-0.00130885	0.000108512	-0.00024155	-0.000595959	0.0443675	0.0566324	0.0282598	0.000107328	-8.8201e-05	0.000535812
186.5	11.4867	4.26287	-1.60893	-0.00465891	-0.0892226	0.000593598	-0.000551899	-0.110247	0.00147113	0.000119092	-0.000249715	-0.000539256	0.0455481	0.0591278	0.0274931	0.00010477	-7.72866e-05	0.000587853
186.6	11.4869	4.25214	-1.60865	-0.00464649	-0.0892479	0.000542755	0.00406354	-0.104194	0.00417368	0.000129395	-0.000256773	-0.000477629	0.0465586	0.0614706	0.0267139	0.000101872	-6.61148e-05	0.000635214
186.7	11.4875	4.24204	-1.6081	-0.00463305	-0.0892739	0.000498296	0.00876979	-0.0979161	0.00679773	0.000139388	-0.000262704	-0.000411575	0.0473983	0.0636538	0.0259249	9.86291e-05	-5.47729e-05	0.000677417
186.8	11.4886	4.23257	-1.60729	-0.00461863	-0.0893004	0.000460636	0.0135497	-0.0914297	0.00934245	0.000149035	-0.000267496	-0.000341637	0.048067	0.0656707	0.0251287	9.50343e-05	-4.3344e-05	0.000714029
186.9	11.4902	4.22376	-1.60624	-0.00460326	-0.0893273	0.000430135	0.0183864	-0.0847519	0.0118073	0.000158301	-0.000271145	-0.000268395	0.0485659	0.0675151	0.0243276	9.10871e-05	-3.19158e-05	0.000744671
187	11.4923	4.21563	-1.60494	-0.00458699	-0.0893546	0.000407093	0.0232628	-0.0779005	0.0141918	0.000167152	-0.000273655	-0.000192467	0.0488967	0.0691814	0.0235242	8.67834e-05	-2.05684e-05	0.000769022
187.1	11.4949	4.20819	-1.6034	-0.00456985	-0.089382	0.000391745	0.0281624	-0.0708933	0.016496	0.000175551	-0.000275041	-0.000114497	0.0490623	0.0706644	0.0227207	8.21223e-05	-9.3814e-06	0.00078682
187.2	11.498	4.20146	-1.60164	-0.0045519	-0.0894095	0.000384263	0.0330689	-0.0637492	0.01872	0.000183462	-0.000275322	-3.51524e-05	0.0490665	0.0719598	0.0219195	7.71026e-05	1.57117e-06	0.000797867
187.3	11.5015	4.19545	-1.59966	-0.00453319	-0.089437	0.00038475	0.0379664	-0.056487	0.0208642	0.00019085	-0.000274527	4.48844e-05	0.0489136	0.0730636	0.0211228	7.17374e-05	1.22082e-05	0.000802034
187.4	11.5056	4.19017	-1.59747	-0.00451376	-0.0894644	0.00039324	0.0428394	-0.0491261	0.022929	0.000197681	-0.00027269	0.000124921	0.0486088	0.0739725	0.0203327	6.60183e-05	2.24744e-05	0.000799256
187.5	11.5101	4.18562	-1.59508	-0.00449368	-0.0894915	0.000409699	0.0476733	-0.0416861	0.0249154	0.000203919	-0.000269853	0.000204264	0.0481581	0.0746842	0.0195515	5.9964e-05	3.22975e-05	0.000789538
187.6	11.5151	4.18183	-1.59249	-0.00447301	-0.0895183	0.000434023	0.0524537	-0.034187	0.0268244	0.000209532	-0.000266063	0.000282222	0.0475679	0.0751965	0.0187811	5.35767e-05	4.16277e-05	0.000772955
187.7	11.5206	4.17879	-1.58972	-0.00445181	-0.0895447	0.000466039	0.0571671	-0.0266486	0.028657	0.000214488	-0.000261374	0.000358119	0.0468452	0.0755087	0.0180233	4.68744e-05	5.04098e-05	0.000749647
187.8	11.5265	4.1765	-1.58676	-0.00443014	-0.0895705	0.000505509	0.0618008	-0.019091	0.0304148	0.000218755	-0.000255841	0.000431295	0.0459976	0.0756201	0.0172806	3.98726e-05	5.85994e-05	0.000719824
187.9	11.5329	4.17497	-1.58364	-0.00440809	-0.0895958	0.000552129	0.0663426	-0.0115343	0.0320992	0.000222305	-0.000249528	0.000501113	0.0450329	0.0755313	0.0165542	3.25863e-05	6.61611e-05	0.00068376
188	11.5398	4.17419	-1.58035	-0.00438572	-0.0896204	0.000605532	0.0707815	-0.00399849	0.0337122	0.000225111	-0.000242498	0.000566971	0.0439594	0.0752433	0.0158463	2.50405e-05	7.30611e-05	0.000641789
188.1	11.5471	4.17417	-1.5769	-0.00436311	-0.0896443	0.000665294	0.075107	0.00349673	0.0352556	0.000227148	-0.000234819	0.000628301	0.0427854	0.0747581	0.0151584	1.72547e-05	7.92778e-05	0.000594306
188.2	11.5548	4.17489	-1.5733	-0.00434033	-0.0896673	0.000730937	0.0793096	0.0109317	0.0367314	0.000228394	-0.00022656	0.000684579	0.0415196	0.0740783	0.0144922	9.26149e-06	8.47904e-05	0.000541759
188.3	11.5629	4.17635	-1.56956	-0.00431747	-0.0896895	0.000801931	0.0833806	0.0182873	0.0381421	0.000228829	-0.000217793	0.000735328	0.0401707	0.0732075	0.0138492	1.08538e-06	8.95913e-05	0.000484646
188.4	11.5715	4.17854	-1.56568	-0.00429461	-0.0897109	0.000877702	0.0873123	0.0255446	0.0394899	0.000228439	-0.000208589	0.000780124	0.0387475	0.0721498	0.0132308	-7.23922e-06	9.36752e-05	0.00042351
