# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	-5.60596	3.94534	-1.05811	-0.00412797	-0.0889929	0.00178804	0.096568	0.168526	0.0795888	8.14422e-05	-0.000105434	-1.72733e-05	0.00378805	0.01712	-0.00988799	-1.6376e-05	4.76209e-06	-1.43917e-05
180.1	-5.59628	3.96227	-1.0502	-0.00411992	-0.0890034	0.00178624	0.0968917	0.170121	0.0785424	7.9564e-05	-0.000104842	-1.86761e-05	0.00286935	0.015179	-0.0108484	-2.03873e-05	6.69643e-06	-1.37848e-05
180.2	-5.58658	3.97935	-1.0424	-0.00411207	-0.0890139	0.00178431	0.0971226	0.17152	0.0774012	7.72876e-05	-0.000104058	-2.00179e-05	0.0019359	0.0131902	-0.0117862	-2.43484e-05	8.61241e-06	-1.3173e-05
180.3	-5.57686	3.99656	-1.03472	-0.00410448	-0.0890242	0.00178224	0.0972594	0.172717	0.0761678	7.4619e-05	-0.000103083	-2.12982e-05	0.000989813	0.0111585	-0.0127001	-2.82446e-05	1.05021e-05	-1.25565e-05
180.4	-5.56714	4.01388	-1.02717	-0.00409717	-0.0890345	0.00178005	0.097301	0.173709	0.0748444	7.15659e-05	-0.000101922	-2.25166e-05	3.36113e-05	0.0090894	-0.0135892	-3.20544e-05	1.23541e-05	-1.19356e-05
180.5	-5.55741	4.03129	-1.01976	-0.00409018	-0.0890446	0.00177774	0.0972466	0.174492	0.0734337	6.81383e-05	-0.000100578	-2.36726e-05	-0.000930203	0.00698845	-0.0144523	-3.57572e-05	1.41578e-05	-1.13104e-05
180.6	-5.54769	4.04877	-1.01249	-0.00408356	-0.0890546	0.00177532	0.0970954	0.175063	0.0719383	6.43478e-05	-9.90573e-05	-2.47659e-05	-0.00189908	0.0048613	-0.0152888	-3.93374e-05	1.59049e-05	-1.06804e-05
180.7	-5.53799	4.0663	-1.00538	-0.00407733	-0.0890644	0.00177279	0.0968472	0.17542	0.0703609	6.0208e-05	-9.73661e-05	-2.57958e-05	-0.0028704	0.00271379	-0.0160977	-4.27717e-05	1.75835e-05	-1.00453e-05
180.8	-5.52833	4.08384	-0.998424	-0.00407154	-0.089074	0.00177016	0.0965019	0.175562	0.0687043	5.57345e-05	-9.55117e-05	-2.67619e-05	-0.00384153	0.00055178	-0.0168786	-4.6044e-05	1.91848e-05	-9.40431e-06
180.9	-5.5187	4.1014	-0.99164	-0.0040662	-0.0890835	0.00176744	0.0960597	0.175487	0.0669713	5.09445e-05	-9.35023e-05	-2.76634e-05	-0.00480984	-0.00161878	-0.0176309	-4.9136e-05	2.06996e-05	-8.75629e-06
181	-5.50912	4.11893	-0.985033	-0.00406136	-0.0890927	0.00176463	0.0955209	0.175195	0.0651648	4.58572e-05	-9.13472e-05	-2.84997e-05	-0.00577267	-0.0037919	-0.0183542	-5.20308e-05	2.21189e-05	-8.09991e-06
181.1	-5.4996	4.13642	-0.97861	-0.00405704	-0.0891018	0.00176175	0.0948864	0.174685	0.0632877	4.04933e-05	-8.90564e-05	-2.92697e-05	-0.00672736	-0.00596158	-0.0190483	-5.4712e-05	2.34343e-05	-7.43355e-06
181.2	-5.49015	4.15386	-0.972379	-0.00405328	-0.0891105	0.00175878	0.094157	0.173959	0.061343	3.48749e-05	-8.66408e-05	-2.99723e-05	-0.00767129	-0.00812181	-0.0197131	-5.71645e-05	2.46379e-05	-6.75536e-06
181.3	-5.48077	4.17121	-0.966345	-0.00405008	-0.0891191	0.00175575	0.093334	0.173018	0.0593336	2.90259e-05	-8.41119e-05	-3.06063e-05	-0.00860186	-0.0102666	-0.0203485	-5.9374e-05	2.57224e-05	-6.06326e-06
181.4	-5.47148	4.18845	-0.960515	-0.00404748	-0.0891274	0.00175267	0.092419	0.171864	0.0572623	2.29713e-05	-8.14822e-05	-3.11702e-05	-0.00951651	-0.0123901	-0.0209545	-6.13269e-05	2.66809e-05	-5.35502e-06
181.5	-5.46229	4.20557	-0.954896	-0.0040455	-0.0891354	0.00174952	0.0914135	0.1705	0.0551323	1.67376e-05	-7.87645e-05	-3.16621e-05	-0.0104127	-0.0144864	-0.0215315	-6.30115e-05	2.75074e-05	-4.62822e-06
181.6	-5.45321	4.22254	-0.949492	-0.00404414	-0.0891431	0.00174634	0.0903197	0.168927	0.0529462	1.03521e-05	-7.59724e-05	-3.208e-05	-0.0112881	-0.0165498	-0.0220797	-6.44167e-05	2.81964e-05	-3.88043e-06
181.7	-5.44423	4.23934	-0.944309	-0.00404343	-0.0891506	0.00174311	0.0891398	0.167151	0.0507071	3.84348e-06	-7.312e-05	-3.24218e-05	-0.0121403	-0.0185747	-0.0225994	-6.55329e-05	2.8743e-05	-3.10916e-06
181.8	-5.43538	4.25596	-0.939353	-0.00404338	-0.0891577	0.00173986	0.0878762	0.165174	0.0484176	-2.75894e-06	-7.02216e-05	-3.26849e-05	-0.0129669	-0.0205557	-0.0230913	-6.63517e-05	2.91433e-05	-2.31193e-06
181.9	-5.42666	4.27237	-0.934628	-0.00404399	-0.0891646	0.00173658	0.0865315	0.163003	0.0460806	-9.42499e-06	-6.72923e-05	-3.28665e-05	-0.0137659	-0.0224874	-0.0235559	-6.68663e-05	2.93941e-05	-1.48643e-06
182	-5.41808	4.28855	-0.930139	-0.00404526	-0.0891712	0.00173329	0.0851088	0.160642	0.0436987	-1.61239e-05	-6.43469e-05	-3.29638e-05	-0.0145351	-0.0243647	-0.0239939	-6.70712e-05	2.94928e-05	-6.30397e-07
182.1	-5.40964	4.30449	-0.92589	-0.00404721	-0.0891775	0.00172999	0.083611	0.158096	0.0412746	-2.28245e-05	-6.1401e-05	-3.29735e-05	-0.0152726	-0.0261829	-0.0244061	-6.69622e-05	2.94377e-05	2.58046e-07
182.2	-5.40136	4.32016	-0.921886	-0.00404983	-0.0891835	0.0017267	0.0820415	0.155372	0.0388108	-2.94952e-05	-5.84698e-05	-3.28924e-05	-0.0159766	-0.0279372	-0.0247932	-6.65371e-05	2.92282e-05	1.18059e-06
182.3	-5.39324	4.33555	-0.91813	-0.00405311	-0.0891892	0.00172342	0.0804038	0.152478	0.0363097	-3.61043e-05	-5.55688e-05	-3.27169e-05	-0.0166453	-0.0296233	-0.0251562	-6.57942e-05	2.8864e-05	2.13845e-06
182.4	-5.38528	4.35065	-0.914626	-0.00405704	-0.0891946	0.00172016	0.0787013	0.149418	0.0337737	-4.26202e-05	-5.27135e-05	-3.24434e-05	-0.0172773	-0.0312371	-0.025496	-6.47345e-05	2.83461e-05	3.13252e-06
182.5	-5.3775	4.36543	-0.911377	-0.00406162	-0.0891997	0.00171693	0.0769379	0.146202	0.031205	-4.90112e-05	-4.9919e-05	-3.20683e-05	-0.0178711	-0.0327748	-0.0258137	-6.33611e-05	2.76765e-05	4.16324e-06
182.6	-5.3699	4.37988	-0.908386	-0.00406684	-0.0892046	0.00171375	0.0751176	0.142837	0.0286059	-5.52462e-05	-4.72005e-05	-3.15879e-05	-0.0184254	-0.0342328	-0.0261102	-6.16749e-05	2.68569e-05	5.23007e-06
182.7	-5.36248	4.39399	-0.905657	-0.00407266	-0.0892092	0.00171062	0.0732442	0.139332	0.0259783	-6.12942e-05	-4.45728e-05	-3.09988e-05	-0.0189392	-0.035608	-0.0263867	-5.96842e-05	2.58916e-05	6.33269e-06
