# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	-6.49748	4.98791	-0.525563	-0.002941	-0.0880654	0.00305318	-0.144322	0.25678	-0.326079	-0.000151039	-0.000227916	-0.000107081	0.104771	-0.145235	-0.0849256	-0.000404108	-0.000275506	-0.000478724
180.1	-6.51138	5.01284	-0.558582	-0.00295812	-0.0880896	0.00303999	-0.133608	0.241814	-0.334298	-0.000191326	-0.00025524	-0.000156621	0.108716	-0.152609	-0.0803602	-0.000402056	-0.000271727	-0.000506518
180.2	-6.52418	5.03624	-0.592399	-0.00297925	-0.0881165	0.00302171	-0.122508	0.22612	-0.342053	-0.000231303	-0.00028214	-0.000208948	0.112528	-0.159834	-0.0756814	-0.000398233	-0.000267183	-0.000534438
180.3	-6.53586	5.05803	-0.626968	-0.00300435	-0.088146	0.00299806	-0.111035	0.209713	-0.349334	-0.000270791	-0.000308539	-0.00026404	0.116196	-0.166882	-0.0708937	-0.000392653	-0.000261868	-0.000561897
180.4	-6.54637	5.07814	-0.662242	-0.00303337	-0.0881782	0.00296877	-0.0992044	0.192615	-0.35613	-0.000309618	-0.000334361	-0.000321812	0.119707	-0.173724	-0.0660045	-0.000385343	-0.000255777	-0.000588274
180.5	-6.55568	5.09652	-0.698169	-0.00306623	-0.0882128	0.00293357	-0.0870332	0.174846	-0.362431	-0.000347611	-0.000359525	-0.000382118	0.123049	-0.18033	-0.0610204	-0.00037633	-0.000248895	-0.000612915
180.6	-6.56376	5.11308	-0.734702	-0.00310284	-0.08825	0.00289223	-0.0745388	0.156433	-0.368229	-0.000384604	-0.000383954	-0.000444743	0.126208	-0.186669	-0.0559488	-0.000365661	-0.000241213	-0.00063515
180.7	-6.57058	5.12777	-0.771789	-0.0031431	-0.0882896	0.00284452	-0.0617402	0.137403	-0.373515	-0.000420433	-0.000407565	-0.000509407	0.129171	-0.192711	-0.0507972	-0.000353368	-0.000232705	-0.000654296
180.8	-6.5761	5.14053	-0.809379	-0.00318686	-0.0883315	0.00279026	-0.0486579	0.117789	-0.378281	-0.000454941	-0.000430276	-0.00057576	0.131925	-0.198425	-0.0455736	-0.000339554	-0.00022339	-0.000669679
180.9	-6.58029	5.1513	-0.847419	-0.00323401	-0.0883756	0.00272931	-0.0353136	0.0976253	-0.382521	-0.000487978	-0.000452006	-0.000643385	0.134455	-0.203781	-0.0402861	-0.00032426	-0.000213234	-0.000680634
181	-6.58315	5.16003	-0.885857	-0.00328438	-0.0884218	0.00266155	-0.0217306	0.0769491	-0.386229	-0.000519404	-0.00047267	-0.000711802	0.136748	-0.20875	-0.0349435	-0.000307582	-0.00020224	-0.000686522
181.1	-6.58463	5.16667	-0.924638	-0.0033378	-0.0884701	0.00258693	-0.00793327	0.055801	-0.3894	-0.000549083	-0.000492183	-0.000780467	0.13879	-0.213302	-0.0295544	-0.000289605	-0.000190402	-0.00068674
