# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	11.5529	4.26306	-1.3449	-0.00419983	-0.0890448	0.00161518	0.0332053	0.0465247	-0.0251507	2.42848e-06	-0.000297807	0.000101309	0.0103183	0.00537924	0.00443331	-2.97717e-05	-3.3397e-05	-0.000178153
180.1	11.5563	4.26774	-1.3474	-0.00419973	-0.0890747	0.00162441	0.0342531	0.04704	-0.0247603	-5.69602e-07	-0.000300549	8.33832e-05	0.0105852	0.005001	0.00355184	-3.01202e-05	-2.34444e-05	-0.000179988
180.2	11.5598	4.27247	-1.34986	-0.00419994	-0.0891049	0.00163185	0.0353215	0.0475176	-0.0244573	-3.59192e-06	-0.000302285	6.535e-05	0.0107494	0.00462655	0.00268175	-3.02919e-05	-1.32925e-05	-0.000180563
180.3	11.5633	4.27724	-1.35229	-0.00420045	-0.0891351	0.00163748	0.0364001	0.0479581	-0.0242405	-6.6208e-06	-0.000302996	4.73346e-05	0.0108102	0.00425735	0.00182615	-3.02867e-05	-2.98835e-06	-0.000179882
180.4	11.567	4.28206	-1.35471	-0.00420127	-0.0891654	0.00164132	0.0374785	0.0483621	-0.0241082	-9.63853e-06	-0.00030267	2.94618e-05	0.0107672	0.0038948	0.000987944	-3.01043e-05	7.41707e-06	-0.000177959
180.5	11.5708	4.28692	-1.35712	-0.00420238	-0.0891956	0.00164339	0.0385465	0.0487303	-0.0240584	-1.26275e-05	-0.000301301	1.18545e-05	0.0106205	0.00354024	0.00017001	-2.9746e-05	1.787e-05	-0.000174815
180.6	11.5747	4.2918	-1.35953	-0.00420379	-0.0892256	0.00164371	0.0395935	0.0490636	-0.0240891	-1.55701e-05	-0.000298888	-5.36691e-06	0.0103705	0.00319491	-0.000624904	-2.92138e-05	2.83176e-05	-0.000170481
180.7	11.5788	4.29673	-1.36194	-0.00420549	-0.0892554	0.00164234	0.0406094	0.049363	-0.0241978	-1.84494e-05	-0.000295432	-2.20858e-05	0.0100178	0.00285996	-0.00139415	-2.85115e-05	3.87052e-05	-0.000164995
180.8	11.5829	4.30168	-1.36437	-0.00420747	-0.0892847	0.00163932	0.0415839	0.0496296	-0.0243817	-2.12484e-05	-0.000290946	-3.81899e-05	0.00956372	0.00253645	-0.00213518	-2.76434e-05	4.89795e-05	-0.000158404
180.9	11.5871	4.30665	-1.36682	-0.00420973	-0.0893135	0.00163474	0.0425071	0.0498645	-0.0246378	-2.39511e-05	-0.000285442	-5.35718e-05	0.0090097	0.00222531	-0.00284558	-2.66156e-05	5.90799e-05	-0.000150762
