# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	10.4275	5.4781	-0.507469	-0.00306017	-0.088092	0.00284291	-0.0810043	0.268481	-0.326073	-0.000153251	-0.000233466	-0.000106954	0.10405	-0.144917	-0.0850175	-0.000404363	-0.000275627	-0.00047856
180.1	10.4199	5.5042	-0.540488	-0.00307751	-0.0881167	0.00282974	-0.0703627	0.253547	-0.334301	-0.000193565	-0.000260802	-0.00015648	0.107993	-0.152289	-0.080453	-0.000402311	-0.000271846	-0.000506393
180.2	10.4135	5.52877	-0.574306	-0.00309887	-0.0881442	0.00281148	-0.0593349	0.237884	-0.342066	-0.000233565	-0.000287713	-0.000208797	0.111802	-0.159513	-0.0757751	-0.000398472	-0.000267287	-0.000534351
180.3	10.4081	5.55174	-0.608877	-0.0031242	-0.0881743	0.00278784	-0.0479347	0.22151	-0.349356	-0.000273077	-0.000314123	-0.000263882	0.115468	-0.16656	-0.0709882	-0.000392886	-0.000261964	-0.000561849
180.4	10.4039	5.57304	-0.644153	-0.00315345	-0.088207	0.00275856	-0.0361774	0.204444	-0.356162	-0.000311927	-0.000339953	-0.000321652	0.118977	-0.173401	-0.0660997	-0.000385564	-0.000255861	-0.000588263
180.5	10.4009	5.59259	-0.680084	-0.00318654	-0.0882422	0.00272338	-0.0240793	0.186707	-0.362473	-0.000349942	-0.000365126	-0.000381959	0.122317	-0.180007	-0.0611162	-0.000376541	-0.000248969	-0.000612939
180.6	10.3991	5.61034	-0.716622	-0.00322339	-0.0882799	0.00268206	-0.0116581	0.168326	-0.36828	-0.000386955	-0.000389561	-0.000444589	0.125475	-0.186345	-0.056045	-0.000365852	-0.00024127	-0.000635205
180.7	10.3986	5.62623	-0.753714	-0.00326388	-0.0883201	0.00263436	0.00106704	0.149329	-0.373575	-0.000422802	-0.000413177	-0.00050926	0.128436	-0.192387	-0.0508938	-0.000353561	-0.000232762	-0.000654381
180.8	10.3993	5.64018	-0.791311	-0.00330788	-0.0883625	0.00258012	0.0140758	0.129748	-0.378351	-0.000457328	-0.000435893	-0.000575622	0.131189	-0.198102	-0.0456705	-0.000339725	-0.000223429	-0.00066979
180.9	10.4014	5.65215	-0.829358	-0.00335527	-0.0884072	0.00251917	0.0273464	0.109616	-0.382601	-0.000490382	-0.000457626	-0.00064326	0.133718	-0.203459	-0.0403832	-0.000324419	-0.000213262	-0.000680767
181	10.4048	5.66208	-0.867804	-0.00340588	-0.088454	0.00245143	0.0408557	0.0889721	-0.386319	-0.000521823	-0.000478292	-0.000711691	0.13601	-0.208429	-0.0350406	-0.000307725	-0.000202257	-0.000686674
181.1	10.4096	5.66992	-0.906595	-0.00345954	-0.0885028	0.00237682	0.0545792	0.067856	-0.3895	-0.000551516	-0.000497807	-0.000780372	0.138051	-0.212983	-0.0296516	-0.000289733	-0.000190407	-0.000686907
181.2	10.4157	5.67563	-0.945677	-0.00351609	-0.0885535	0.00229537	0.068491	0.0463111	-0.392139	-0.000579337	-0.000516086	-0.000848703	0.139829	-0.217093	-0.0242253	-0.000270539	-0.000177713	-0.000680912
181.3	10.4233	5.67916	-0.984995	-0.00357531	-0.088606	0.00220713	0.0825639	0.0243834	-0.394234	-0.000605174	-0.000533045	-0.000916031	0.141329	-0.220733	-0.0187712	-0.000250248	-0.000164177	-0.000668191
181.4	10.4322	5.68049	-1.0245	-0.00363702	-0.08866	0.00211225	0.0967695	0.0021213	-0.395783	-0.000628921	-0.0005486	-0.000981658	0.14254	-0.223879	-0.013299	-0.000228964	-0.000149805	-0.000648318
181.5	10.4426	5.67957	-1.06412	-0.00370099	-0.0887156	0.00201092	0.111078	-0.0204242	-0.396784	-0.000650488	-0.000562669	-0.00104485	0.143449	-0.226506	-0.00781882	-0.000206802	-0.000134611	-0.00062094
181.6	10.4545	5.67639	-1.10383	-0.003767	-0.0887725	0.00190344	0.125459	-0.0432	-0.397238	-0.000669793	-0.000575171	-0.00110483	0.144045	-0.228593	-0.00234067	-0.000183884	-0.00011862	-0.000585792
181.7	10.4677	5.67092	-1.14354	-0.00383483	-0.0888306	0.00179016	0.139879	-0.0661511	-0.397144	-0.000686767	-0.000586026	-0.00116083	0.144316	-0.230122	0.00312493	-0.000160312	-0.000101845	-0.000542706
181.8	10.4824	5.66316	-1.18323	-0.00390423	-0.0888896	0.00167152	0.154307	-0.0892204	-0.396505	-0.000701353	-0.00059516	-0.00121203	0.144255	-0.231074	0.00856757	-0.000136216	-8.43251e-05	-0.00049161
181.9	10.4986	5.65308	-1.22282	-0.00397497	-0.0889495	0.00154804	0.168709	-0.112349	-0.395323	-0.000713505	-0.000602499	-0.00125765	0.143852	-0.231435	0.0139765	-0.00011172	-6.61049e-05	-0.00043254
182	10.5162	5.64069	-1.26226	-0.00404681	-0.08901	0.00142031	0.183049	-0.135478	-0.393604	-0.000723188	-0.000607975	-0.00129689	0.143099	-0.231193	0.0193412	-8.69062e-05	-4.72057e-05	-0.000365637
182.1	10.5352	5.62598	-1.30151	-0.00411949	-0.089071	0.00128902	0.197292	-0.158546	-0.391351	-0.000730383	-0.000611529	-0.00132898	0.141991	-0.230337	0.0246506	-6.19843e-05	-2.77494e-05	-0.000291163
182.2	10.5556	5.60898	-1.34051	-0.00419276	-0.0891322	0.00115491	0.211403	-0.181491	-0.388571	-0.000735077	-0.0006131	-0.0013532	0.140522	-0.228861	0.0298942	-3.69104e-05	-7.6859e-06	-0.000209482
182.3	10.5775	5.5897	-1.3792	-0.00426637	-0.0891935	0.00101881	0.225345	-0.204252	-0.385272	-0.00073727	-0.000612639	-0.00136884	0.13869	-0.22676	0.035061	-1.19363e-05	1.28113e-05	-0.000121079
182.4	10.6007	5.56814	-1.41754	-0.00434009	-0.0892546	0.000881608	0.239082	-0.226764	-0.381461	-0.000736973	-0.000610104	-0.00137528	0.136492	-0.224032	0.0401405	1.28973e-05	3.37098e-05	-2.65439e-05
182.5	10.6253	5.54436	-1.45547	-0.00441364	-0.0893154	0.00074425	0.252578	-0.248966	-0.377148	-0.000734209	-0.00060546	-0.00137193	0.133929	-0.220679	0.0451221	3.7476e-05	5.49122e-05	7.34258e-05
182.6	10.6512	5.51837	-1.49294	-0.0044868	-0.0893756	0.00060774	0.265795	-0.270795	-0.372344	-0.000729007	-0.000598684	-0.00135832	0.131001	-0.216704	0.0499954	6.17101e-05	7.63278e-05	0.00017803
182.7	10.6784	5.49022	-1.52991	-0.00455933	-0.0894351	0.000473126	0.278698	-0.29219	-0.367059	-0.000721408	-0.00058976	-0.00133401	0.127712	-0.212112	0.0547501	8.55054e-05	9.78508e-05	0.000286377
182.8	10.7069	5.45996	-1.56633	-0.00463097	-0.0894935	0.000341493	0.29125	-0.313089	-0.361306	-0.000711462	-0.000578684	-0.00129871	0.124066	-0.206914	0.0593762	0.000108769	0.000119366	0.000397485
182.9	10.7366	5.42763	-1.60215	-0.0047015	-0.0895507	0.000213951	0.303417	-0.333433	-0.355099	-0.000699226	-0.000565464	-0.00125219	0.120071	-0.201121	0.0638641	0.000131426	0.000140758	0.000510301
183	10.7676	5.3933	-1.63733	-0.0047707	-0.0896065	9.16265e-05	0.315164	-0.353163	-0.348453	-0.000684762	-0.000550118	-0.00119436	0.115734	-0.194745	0.0682044	0.000153445	0.000161932	0.000623696
183.1	10.7996	5.35703	-1.67182	-0.00483835	-0.0896606	-2.43494e-05	0.326457	-0.372221	-0.341381	-0.000668143	-0.000532677	-0.00112522	0.111065	-0.187806	0.0723879	0.000174692	0.000182718	0.000736503
183.2	10.8328	5.31889	-1.70558	-0.00490422	-0.0897129	-0.000132853	0.337264	-0.390552	-0.333901	-0.000649443	-0.000513186	-0.00104491	0.106076	-0.180319	0.0764061	0.000195196	0.00020304	0.000847494
183.3	10.8671	5.27896	-1.73858	-0.00496813	-0.0897631	-0.00023278	0.347554	-0.408104	-0.32603	-0.000628746	-0.000491702	-0.000953683	0.10078	-0.172307	0.0802507	0.000214823	0.000222712	0.000955434
